participant_id,ref_item,form,form_moreless1,form_moreless2,form_moreless3
final3,stick,nonling_only,less_informative,less_informative,less_informative
final3,ball,nonling_only,less_informative,less_informative,less_informative
final4,ball,np_mod,more_informative,more_informative,more_informative
final4,stick,np_unmod,more_informative,more_informative,less_informative
final10,ball,np_mod,more_informative,more_informative,more_informative
final10,no_ref,no_ref,NA,NA,NA
final16,ball,np_mod,more_informative,more_informative,more_informative
final16,stick,np_unmod,more_informative,more_informative,less_informative
final27,stick,nonling_only,less_informative,less_informative,less_informative
final27,ball,np_unmod,more_informative,more_informative,less_informative
final28,ball,np_unmod,more_informative,more_informative,less_informative
final28,stick,np_mod,more_informative,more_informative,more_informative
final53,stick,nonling_only,less_informative,less_informative,less_informative
final53,ball,nonling_only,less_informative,less_informative,less_informative
final54,ball,np_unmod,more_informative,more_informative,less_informative
final54,stick,np_unmod,more_informative,more_informative,less_informative
final59,stick,nonling_only,less_informative,less_informative,less_informative
final59,ball,nonling_only,less_informative,less_informative,less_informative
final76,ball,np_unmod,more_informative,more_informative,less_informative
final76,stick,np_unmod,more_informative,more_informative,less_informative
final80,stick,np_unmod,more_informative,more_informative,less_informative
final80,ball,np_unmod,more_informative,more_informative,less_informative
final84,ball,np_unmod,more_informative,more_informative,less_informative
final84,stick,np_unmod,more_informative,more_informative,less_informative
final86,ball,np_unmod,more_informative,more_informative,less_informative
final86,stick,np_unmod,more_informative,more_informative,less_informative
final91,ball,np_unmod,more_informative,more_informative,less_informative
final91,stick,np_mod,more_informative,more_informative,more_informative
final95,ball,np_unmod,more_informative,more_informative,less_informative
final95,stick,np_mod,more_informative,more_informative,more_informative
final96,ball,np_mod,more_informative,more_informative,more_informative
final96,stick,np_mod,more_informative,more_informative,more_informative
final101,stick,np_unmod,more_informative,more_informative,less_informative
final101,ball,np_unmod,more_informative,more_informative,less_informative
final103,stick,np_unmod,more_informative,more_informative,less_informative
final103,ball,np_mod,more_informative,more_informative,more_informative
final109,stick,np_unmod,more_informative,more_informative,less_informative
final109,ball,np_mod,more_informative,more_informative,more_informative
final111,ball,np_unmod,more_informative,more_informative,less_informative
final111,stick,np_mod,more_informative,more_informative,more_informative
final112,ball,proform,more_informative,less_informative,less_informative
final112,stick,np_unmod,more_informative,more_informative,less_informative
final116,ball,proform,more_informative,less_informative,less_informative
final116,stick,np_mod,more_informative,more_informative,more_informative
final118,ball,np_unmod,more_informative,more_informative,less_informative
final118,stick,np_unmod,more_informative,more_informative,less_informative
final122,ball,np_unmod,more_informative,more_informative,less_informative
final122,stick,proform,more_informative,less_informative,less_informative
