participant_id,sex,age,race_recoded,income_recoded,education,e1_recoded,condition_discourse,condition_framing,location,exclude_reason,ref_item,ref_ling
final1,m,4.306849315068493,White,>70k,graduate,alissa,conventional,we,0,included,ball,np_mod
final1,m,4.306849315068493,White,>70k,graduate,alissa,conventional,we,0,included,stick,np_mod
final2,m,4.03013698630137,White,NA,college,kaelin,conventional,you,1,included,ball,no_ling_ref
final2,m,4.03013698630137,White,NA,college,kaelin,conventional,you,1,included,stick,no_ling_ref
final3,f,4.715068493150685,White,NA,graduate,kaelin,conventional,we,1,included,stick,no_ling_ref
final3,f,4.715068493150685,White,NA,graduate,kaelin,conventional,we,1,included,ball,no_ling_ref
final4,m,4.073972602739726,White,>70k,graduate,kaelin,conventional,we,0,included,ball,np_mod
final4,m,4.073972602739726,White,>70k,graduate,kaelin,conventional,we,0,included,stick,np_unmod
final5,f,4.068493150684931,Latine,>70k,college,kaelin,conventional,you,0,nonenglish,-,-
final5,f,4.068493150684931,Latine,>70k,college,kaelin,conventional,you,0,nonenglish,-,-
final6,f,4.556164383561644,Asian American or Asian,>70k,graduate,alissa,conventional,you,0,included,stick,no_ling_ref
final6,f,4.556164383561644,Asian American or Asian,>70k,graduate,alissa,conventional,you,0,included,ball,no_ling_ref
final7,m,4.038356164383561,White,>70k,college,alissa,conventional,you,0,included,ball,np_unmod
final7,m,4.038356164383561,White,>70k,college,alissa,conventional,you,0,included,stick,proform
final8,f,4.049315068493151,Biracial,60k-69k,graduate,kaelin,conventional,we,0,shy,-,-
final8,f,4.049315068493151,Biracial,60k-69k,graduate,kaelin,conventional,we,0,shy,-,-
final9,f,4.054794520547945,White,>70k,graduate,alissa,idiosyncratic,we,0,included,stick,proform
final9,f,4.054794520547945,White,>70k,graduate,alissa,idiosyncratic,we,0,included,ball,np_unmod
final10,m,4.487671232876712,White,>70k,some college,kaelin,idiosyncratic,we,1,included,ball,np_unmod
final10,m,4.487671232876712,White,>70k,some college,kaelin,idiosyncratic,we,1,included,no_ref,0
final11,m,4.041095890410959,White,>70k,graduate,kaelin,idiosyncratic,we,1,included,ball,np_unmod
final11,m,4.041095890410959,White,>70k,graduate,kaelin,idiosyncratic,we,1,included,stick,proform
final12,f,4.241095890410959,White,>70k,graduate,alissa,conventional,you,0,included,ball,np_unmod
final12,f,4.241095890410959,White,>70k,graduate,alissa,conventional,you,0,included,stick,np_unmod
final13,f,4.712328767123288,African American or Black,>70k,graduate,alissa,idiosyncratic,you,0,included,ball,np_unmod
final13,f,4.712328767123288,African American or Black,>70k,graduate,alissa,idiosyncratic,you,0,included,stick,np_unmod
final14,f,4.13972602739726,Biracial,>70k,college,kaelin,idiosyncratic,you,0,included,ball,np_unmod
final14,f,4.13972602739726,Biracial,>70k,college,kaelin,idiosyncratic,you,0,included,stick,np_unmod
final15,f,4.057534246575343,White,>70k,college,kaelin,conventional,you,0,exp_error,-,-
final15,f,4.057534246575343,White,>70k,college,kaelin,conventional,you,0,exp_error,-,-
final16,m,4.191780821917808,White,>70k,college,alissa,conventional,we,0,included,ball,np_unmod
final16,m,4.191780821917808,White,>70k,college,alissa,conventional,we,0,included,stick,proform
final17,m,4.975342465753425,White,>70k,graduate,kaelin,idiosyncratic,you,0,idiosyncratic,-,-
final17,m,4.975342465753425,White,>70k,graduate,kaelin,idiosyncratic,you,0,idiosyncratic,-,-
final18,f,4.7972602739726025,Latine,>70k,graduate,kaelin,conventional,you,1,shy,-,-
final18,f,4.7972602739726025,Latine,>70k,graduate,kaelin,conventional,you,1,shy,-,-
final19,m,4.972602739726027,NA,>70k,college,kaelin,conventional,we,1,included,ball,np_unmod
final19,m,4.972602739726027,NA,>70k,college,kaelin,conventional,we,1,included,stick,np_mod
final20,m,4.156164383561644,White,NA,some college,kaelin,conventional,you,1,included,stick,no_ling_ref
final20,m,4.156164383561644,White,NA,some college,kaelin,conventional,you,1,included,ball,np_mod
final21,m,4.027397260273973,Latine,40k-49k,college,alissa,idiosyncratic,we,0,nonenglish,-,-
final21,m,4.027397260273973,Latine,40k-49k,college,alissa,idiosyncratic,we,0,nonenglish,-,-
final22,m,4.117808219178082,White,>70k,graduate,alissa,idiosyncratic,you,0,included,ball,np_unmod
final22,m,4.117808219178082,White,>70k,graduate,alissa,idiosyncratic,you,0,included,stick,np_unmod
final23,f,4.676712328767123,White,>70k,graduate,alissa,idiosyncratic,you,0,included,ball,np_unmod
final23,f,4.676712328767123,White,>70k,graduate,alissa,idiosyncratic,you,0,included,stick,np_unmod
final24,f,3.6136986301369864,White,NA,no high school,kaelin,conventional,we,1,wrong_age,-,-
final24,f,3.6136986301369864,White,NA,no high school,kaelin,conventional,we,1,wrong_age,-,-
