part_id,date,location,e1,e2,age,condition_framing,order_partner,order_game,pup,game,condition_partner,abandon,prompt,we,final sample,notes
weco_pilot1,6/30/22,zoom,maya,julie,3,we,group_first,barn_first,cat,barn,group,1,2,2,0,participant hard to hear
weco_pilot1,6/30/22,zoom,maya,julie,3,we,group_first,barn_first,bunny,bucket,individual,1,2,2,0,"e2 said ""you"" instead of ""we"" (10:10)"
weco_pilot2,7/1/22,zoom,maya,julie,3,we,individual_first,barn_first,bunny,barn,individual,1,4,2,0,
weco_pilot2,7/1/22,zoom,maya,julie,3,we,individual_first,barn_first,cat,bucket,group,1,3,2,0,
weco_pilot3,7/1/22,zoom,maya,julie,3,you,group_first,bucket_first,bunny,bucket,group,1,4,3,0,participant hard to hear
weco_pilot3,7/1/22,zoom,maya,julie,3,you,group_first,bucket_first,cat,barn,individual,1,4,2,0,
weco_pilot4,6/30/22,zoom,maya,julie,2,you,group_first,bucket_first,bunny,bucket,group,1,3,2,0,"e2 said ""we will put it in the orange bucket"" at 4:25. also around 5 mins, not sure what her mom is saying to her. E2 said ""we will play"" instead of you at 5:24. "
weco_pilot4,6/30/22,zoom,maya,julie,2,you,group_first,bucket_first,cat,barn,individual,1,2,3,0,mother intervening a lot
weco_pilot5,7/5/22,zoom,maya,julie,2,we,group_first,barn_first,cat,barn,group,1,4,2,0,"e2 said ""do you want to play"" instead of we at 6:05. e2 said ""where do you"" instead of we at 6:35. again at 7:05"
weco_pilot5,7/5/22,zoom,maya,julie,2,we,group_first,barn_first,bunny,bucket,individual,1,5,2,0,"e2 said ""you"" instead of ""we"" 16:12. can't really tell if he abandons the bucket game or not"
weco_pilot6,9/22/22,zoom,maya,kaelin,2,you,group_first,bucket_first,cat,bucket,group,1,3,3,0,
weco_pilot6,9/22/22,zoom,maya,kaelin,2,you,group_first,bucket_first,bunny,box,individual,1,2,4,0,
weco_pilot7,9/29/22,zoom,maya,eleanor,2,we,group_first,bucket_first,bunny,bucket,group,1,2,3,0,at first prompt (10:55) I thought child said they want to play blicket game. I think parent repeated script wrong at around 12:45
weco_pilot7,9/29/22,zoom,maya,eleanor,2,we,group_first,bucket_first,cat,box,individual,1,1,95,0,"e2 said ""do you"" instead of ""we"" at 15:55"
weco_pilot8,9/20/22,zoom,maya,sabrina,3,we,individual_first,bucket_first,bunny,bucket,individual,1,5,2,0,
weco_pilot8,9/20/22,zoom,maya,sabrina,3,we,individual_first,bucket_first,cat,box,group,1,3,3,0,
weco_pilot9,9/27/22,zoom,maya,n/a,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,participant uncooperative - discard
weco_pilot9,9/27/22,zoom,maya,n/a,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,participant uncooperative - discard
weco_pilot10,10/4/22,zoom,maya,sabrina,2,you,group_first,bucket_first,NA,NA,group,1,2,NA,0,participant  uncooperative - discard
weco_pilot10,10/4/22,zoom,maya,sabrina,2,you,group_first,bucket_first,NA,NA,NA,NA,NA,NA,0,participant uncooperative - discard
weco_pilot11,10/4/22,zoom,maya,sabrina,2,we,individual_first,bucket_first,bunny,bucket,individual,1,3,95,0,
weco_pilot11,10/4/22,zoom,maya,sabrina,2,we,individual_first,bucket_first,cat,box,group,1,1,95,0,
weco_pilot12,10/4/22,zoom,maya,sabrina,3,you,group_first,bucket_first,bunny,bucket,group,1,2,2,0,
weco_pilot12,10/4/22,zoom,maya,sabrina,3,you,group_first,bucket_first,cat,box,individual,1,2,2,0,
weco_pilot13,10/6/22,zoom,maya,kaelin,2,we,group_first,bucket_first,bunny,bucket,group,1,2,4,0,
weco_pilot13,10/6/22,zoom,maya,kaelin,2,we,group_first,bucket_first,cat,box,individual,1,2,2,0,"parent gives participant answer for ""who did you play with"" (14:55)"
weco_pilot14,7/5/22,zoom,maya,julie,2,we,individual_first,barn_first,bunny,barn,individual,1,3,2,0,participant pretty uncooperative and inattentive. Ex: 12:20
weco_pilot14,7/5/22,zoom,maya,julie,2,we,individual_first,barn_first,cat,NA,group,NA,NA,NA,0,participant uncooperative - did not want to play
weco_pilot15,10/6/22,zoom,maya,eleanor,2,you,individual_first,bucket_first,bunny,bucket,individual,NA,NA,NA,0,participant uncooperative and inattentive - playing with other toys. Ended trial early 
weco_pilot15,10/6/22,zoom,maya,eleanor,2,you,individual_first,bucket_first,NA,NA,NA,NA,NA,NA,0,participant uncooperative and inattentive - playing with other toys. Ended trial early 
weco_pilot16,10/13/22,zoom,maya,kaelin,2,we,group_first,bucket_first,bunny,bucket,group,1,2,3,0,
weco_pilot16,10/13/22,zoom,maya,kaelin,2,we,group_first,bucket_first,cat,box,individual,1,1,3,0,
weco_pilot17,10/13/22,zoom,maya,kaelin,3,you,individual_first,bucket_first,bunny,bucket,individual,1,2,3,0,
weco_pilot17,10/13/22,zoom,maya,kaelin,3,you,individual_first,bucket_first,cat,box,group,1,2,3,0,
weco_pilot18,10/18/22,zoom,maya,sabrina,2,you,group_first,bucket_first,cat,bucket,group,1,2,3,0,
weco_pilot18,10/18/22,zoom,maya,sabrina,2,you,group_first,bucket_first,bunny,box,individual,1,1,3,0,
weco_pilot19,10/18/22,zoom,maya,sabrina,3,we,individual_first,bucket_first,cat,bucket,individual,1,1,3,0,
weco_pilot19,10/18/22,zoom,maya,sabrina,3,we,individual_first,bucket_first,bunny,box,group,1,1,3,0,
weco_final1,10/29/22,zoom,maya,eleanor,3,we,individual_first,bucket_first,bunny,bucket,individual,1,2,3,1,participant was interested after first prompt but experimenters continued w bucket game
weco_final1,10/29/22,zoom,maya,eleanor,3,we,individual_first,bucket_first,cat,box,group,1,1,3,1,
weco_final2,10/29/22,zoom,maya,eleanor,2,we,individual_first,bucket_first,bunny,bucket,individual,1,2,3,0,"dad said ""do YOU want to put it in bucket"" at 5:35, then e2 did at 5:46, both did it again around 7:20 & 8:40"
weco_final2,10/29/22,zoom,maya,eleanor,2,we,individual_first,bucket_first,cat,box,group,1,1,4,1,
weco_final3,10/29/22,zoom,maya,eleanor,3,we,individual_first,bucket_first,bunny,bucket,individual,1,1,2,0,"mom said ""do YOU want to see the game"" at 3:45 instead of we. Mom asked ""did you play or did bunny"" at 6:00 "
weco_final3,10/29/22,zoom,maya,eleanor,3,we,individual_first,bucket_first,cat,box,group,1,1,2,1,
